#
#  10403s_rastcyc 1.0.2.1 Genes link table generated on Wed Oct 28, 2015
#  All columns are separated by tab characters.
#  Columns are: 
#
#  GENE-ID  EG#  b#  y-name  CGSC-ID  UniProt-ID  GENE-NAME  
#
#   GENE-ID      = Pathway Tools unique identifier for the gene
#   UniProt-ID = Swiss-Prot identifier
#   GENE-NAME    = Pathway Tools gene name
#
#
LMRG_01024		LMRG_01024	
LMRG_00175		LMRG_00175	
LMRG_02270		LMRG_02270	
LMRG_00204		LMRG_00204	
LMRG_01222		LMRG_01222	
LMRG_02969		LMRG_02969	
LMRG_00681		LMRG_00681	
LMRG_01657		LMRG_01657	
LMRG_01199		LMRG_01199	
LMRG_02169		LMRG_02169	
LMRG_01757		LMRG_01757	
LMRG_00647		LMRG_00647	
LMRG_02729		LMRG_02729	
LMRG_02963		LMRG_02963	
LMRG_01871		LMRG_01871	
LMRG_02245		LMRG_02245	
LMRG_01502		LMRG_01502	
LMRG_02694		LMRG_02694	
LMRG_02048		LMRG_02048	
LMRG_02829		LMRG_02829	
LMRG_00199		LMRG_00199	
LMRG_02938		LMRG_02938	
LMRG_00785		LMRG_00785	
LMRG_01793		eno	
LMRG_01341		LMRG_01341	
LMRG_00570		LMRG_00570	
LMRG_00873		LMRG_00873	
LMRG_00999		LMRG_00999	
LMRG_00298		LMRG_00298	
LMRG_01300		LMRG_01300	
LMRG_01876		LMRG_01876	
LMRG_02444		qoxC	
LMRG_02949		LMRG_02949	
LMRG_01236		LMRG_01236	
LMRG_00122		LMRG_00122	
LMRG_02475		LMRG_02475	
LMRG_01186		LMRG_01186	
LMRG_01678		LMRG_01678	
LMRG_02817		LMRG_02817	
LMRG_00741		oatA	
LMRG_01805		LMRG_01805	
LMRG_00454		LMRG_00454	
LMRG_01060		LMRG_01060	
LMRG_00482		LMRG_00482	
LMRG_01507		LMRG_01507	
LMRG_00404		LMRG_00404	
LMRG_02837		LMRG_02837	
LMRG_02157		LMRG_02157	
LMRG_02728		LMRG_02728	
LMRG_01823		LMRG_01823	
LMRG_01146		LMRG_01146	
LMRG_02943		LMRG_02943	
LMRG_00502		LMRG_00502	
LMRG_02399		LMRG_02399	
LMRG_00075		LMRG_00075	
LMRG_02719		LMRG_02719	
LMRG_01959		LMRG_01959	
LMRG_02031		LMRG_02031	
LMRG_02059		LMRG_02059	
LMRG_01098		LMRG_01098	
LMRG_00668		LMRG_00668	
LMRG_01286		LMRG_01286	
LMRG_01401		LMRG_01401	
LMRG_01370		LMRG_01370	
LMRG_02191		LMRG_02191	
LMRG_00903		LMRG_00903	
LMRG_02686		LMRG_02686	
LMRG_01907		LMRG_01907	
LMRG_01761		LMRG_01761	
LMRG_02525		bceB	
LMRG_00726		LMRG_00726	
LMRG_00688		LMRG_00688	
LMRG_01662		LMRG_01662	
LMRG_01327		LMRG_01327	
LMRG_02491		LMRG_02491	
LMRG_00679		LMRG_00679	
LMRG_00309		LMRG_00309	
LMRG_00054		LMRG_00054	
LMRG_01514		LMRG_01514	
LMRG_02308		LMRG_02308	
LMRG_02600		LMRG_02600	
LMRG_00437		LMRG_00437	
LMRG_00933		LMRG_00933	
LMRG_01044		LMRG_01044	
LMRG_02675		mcsB	
LMRG_01533		LMRG_01533	
LMRG_02441		pmk	
LMRG_00630		LMRG_00630	
LMRG_02849		LMRG_02849	
LMRG_01776		LMRG_01776	
LMRG_02301		LMRG_02301	
LMRG_02256		LMRG_02256	
LMRG_02484		LMRG_02484	
LMRG_00660		LMRG_00660	
LMRG_00832		LMRG_00832	
LMRG_01891		LMRG_01891	
LMRG_02305		LMRG_02305	
LMRG_01875		LMRG_01875	
LMRG_00153		LMRG_00153	
LMRG_00064		LMRG_00064	
LMRG_01360		LMRG_01360	
LMRG_00735		LMRG_00735	
LMRG_01268		LMRG_01268	
LMRG_01713		LMRG_01713	
LMRG_02184		LMRG_02184	
LMRG_01700		LMRG_01700	
LMRG_02356		LMRG_02356	
LMRG_02611		dapE	
LMRG_00858		LMRG_00858	
LMRG_01626		clpB	
LMRG_00330		LMRG_00330	
LMRG_02633		LMRG_02633	
LMRG_01528		LMRG_01528	
LMRG_01115		LMRG_01115	
LMRG_01527		LMRG_01527	
LMRG_00449		LMRG_00449	
LMRG_02720		LMRG_02720	
LMRG_02273		LMRG_02273	
LMRG_01584		LMRG_01584	
LMRG_00856		LMRG_00856	
LMRG_00900		LMRG_00900	
LMRG_00636		LMRG_00636	
LMRG_00008		LMRG_00008	
LMRG_00249		LMRG_00249	
LMRG_01257		LMRG_01257	
LMRG_01758		LMRG_01758	
LMRG_02123		LMRG_02123	
LMRG_02648		LMRG_02648	
LMRG_02115		LMRG_02115	
LMRG_01253		LMRG_01253	
LMRG_02181		LMRG_02181	
LMRG_01935		LMRG_01935	
LMRG_02296		LMRG_02296	
LMRG_02706		LMRG_02706	
LMRG_02770		LMRG_02770	
LMRG_01791		tpi	
LMRG_01448		LMRG_01448	
LMRG_01153		LMRG_01153	
LMRG_00178		LMRG_00178	
LMRG_00659		LMRG_00659	
LMRG_01614		LMRG_01614	
LMRG_00253		LMRG_00253	
LMRG_02788		LMRG_02788	
LMRG_01414		LMRG_01414	
LMRG_01798		LMRG_01798	
LMRG_02221		LMRG_02221	
LMRG_00360		LMRG_00360	
LMRG_01458		LMRG_01458	
LMRG_02277		LMRG_02277	
LMRG_01464		LMRG_01464	
LMRG_00677		LMRG_00677	
LMRG_01210		LMRG_01210	
LMRG_02584		yycF	
LMRG_01007		LMRG_01007	
LMRG_02485		LMRG_02485	
LMRG_00816		LMRG_00816	
LMRG_02597		LMRG_02597	
LMRG_02342		LMRG_02342	
LMRG_00891		LMRG_00891	
LMRG_01132		LMRG_01132	
LMRG_01799		LMRG_01799	
LMRG_01406		LMRG_01406	
LMRG_01971		LMRG_01971	
LMRG_01542		LMRG_01542	
LMRG_01566		LMRG_01566	
LMRG_00922		LMRG_00922	
LMRG_00522		LMRG_00522	
LMRG_00421		LMRG_00421	
LMRG_01213		LMRG_01213	
LMRG_00331		LMRG_00331	
LMRG_01356		LMRG_01356	
LMRG_01376		argC	
LMRG_00641		LMRG_00641	
LMRG_00375		LMRG_00375	
LMRG_01340		LMRG_01340	
LMRG_00783		LMRG_00783	
LMRG_00829		LMRG_00829	
LMRG_02758		LMRG_02758	
LMRG_02615		LMRG_02615	
LMRG_01050		LMRG_01050	
LMRG_00536		LMRG_00536	
LMRG_02950		LMRG_02950	
LMRG_01950		LMRG_01950	
LMRG_01818		LMRG_01818	
LMRG_02791		LMRG_02791	
LMRG_01854		LMRG_01854	
LMRG_01740		LMRG_01740	
LMRG_02343		LMRG_02343	
LMRG_00517		LMRG_00517	
LMRG_02710		LMRG_02710	
LMRG_02673		LMRG_02673	
LMRG_02035		LMRG_02035	
LMRG_02528		LMRG_02528	
LMRG_00265		LMRG_00265	
LMRG_02011		LMRG_02011	
LMRG_02621		LMRG_02621	
LMRG_00459		LMRG_00459	
LMRG_02145		LMRG_02145	
LMRG_01310		LMRG_01310	
LMRG_01926		LMRG_01926	
LMRG_02463		LMRG_02463	
LMRG_01929		LMRG_01929	
LMRG_02282		LMRG_02282	
LMRG_01325		citB	
LMRG_02551		LMRG_02551	
LMRG_00359		LMRG_00359	
LMRG_02544		LMRG_02544	
LMRG_02357		LMRG_02357	
LMRG_02593		LMRG_02593	
LMRG_00215		LMRG_00215	
LMRG_02635		LMRG_02635	
LMRG_02920		LMRG_02920	
LMRG_01958		LMRG_01958	
LMRG_00296		LMRG_00296	
LMRG_00289		LMRG_00289	
LMRG_02533		LMRG_02533	
LMRG_01696		LMRG_01696	
LMRG_00273		LMRG_00273	
LMRG_02100		LMRG_02100	
LMRG_01830		LMRG_01830	
LMRG_00216		LMRG_00216	
LMRG_01707		LMRG_01707	
LMRG_01765		LMRG_01765	
LMRG_01021		LMRG_01021	
LMRG_01911		LMRG_01911	
LMRG_01095		LMRG_01095	
LMRG_00226		LMRG_00226	
LMRG_00124		LMRG_00124	
LMRG_01708		LMRG_01708	
